,Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
24,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo dije desde el principio, vamos a garantizar el pago de esos bonos como gobierno federal. Todas esas inversiones están seguras.",0.2233876642444148,21,6,12,2018
25,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Acerca del precio de los bonos, eso tiene que ver con el mercado y respetamos los cambios que se den en el mercado. La Secretaría de Hacienda es la que se ocupa de este asunto.",0.0548112323899311,35,6,12,2018
26,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Acerca de la propuesta de los posibles o del posible nuevo ministro de la Corte, eso lo van a decidir los senadores.",0.2374071423248612,22,6,12,2018
27,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo presento una terna. Todos cumplen legalmente, les tengo confianza, por eso los estoy proponiendo. Es gente honesta. Son abogados, de primer orden los tres, dos mujeres y un hombre. Y los senadores libremente van a decidir.",0.0721838701702344,37,6,12,2018
28,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Estamos, también, en el terreno de lo inédito para los que se la pasan diciendo, que los respetamos mucho, porque ejercen su derecho a disentir y a la pluralidad, pero se la pasan diciendo que no hay cambios.",0.0675073086631791,38,6,12,2018
29,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En este caso, cuál era la costumbre de años. Di una terna y de antemano se sabía. Porque el poder de los poderes, el Ejecutivo, daba la línea, y todo el procedimiento era una faramalla, una farsa.",0.0145475723143415,37,6,12,2018
30,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ahora no. Ahora se envía la terna, porque es una facultad del titular del Ejecutivo, y decide libremente el Senado. La línea es que no hay línea. Y eso nunca, en los tiempos recientes, en la historia moderna, ni modo, que era distinto.",0.0148113338544486,43,6,12,2018
31,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, sí, es interesante lo que estamos viviendo.",0.7237456427743532,8,6,12,2018
32,-PREGUNTA," Julio Ramírez, de ADN Político.",0.2843053390218422,5,6,12,2018
33,-PREGUNTA,"Le quería preguntar sobre la denuncia de la unidad financiera que nos informaron ayer, podría abundar cómo va a ser esta estrategia. Entendemos que es el, podemos decir que es el primer paso para ir sobre las finanzas del crimen organizado, como lo dijo desde la campaña.",0.0229112321463506,47,6,12,2018
34,-PREGUNTA,"Y sobre el caso Odebrecht, un tribunal ordenó a la Fepade que determine si Lozoya cometió delitos o no, ¿su Administración va a colaborar en ese sentido?",0.0023398473582681,27,6,12,2018
35,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," En el caso del robo de combustibles vamos a presentarles, probablemente, la semana próxima, todo el plan que se está elaborando para detener el robo de combustible.",0.0047965111276613,27,6,12,2018
36,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Acerca de lo de la investigación de Odebrecht, hay instrucciones, en lo que a nosotros corresponde, de que se den todos los informes. Y estamos a favor de la transparencia.",0.0531862456690919,30,6,12,2018
37,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo único que se tiene que cuidar es no dar motivo para que, si la Procuraduría da información, esto sirva a los implicados como prueba de que no se está siguiendo el proceso debido.",0.0135865297998158,34,6,12,2018
38,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero esto lo tiene que resolver la fiscalía, en todo aquello que no afecte el que se haga justicia debe de haber de transparencia por completo. Es un asunto nada más de carácter legal. Pero no somos tapadera de nadie.",0.0038186833201054,40,6,12,2018
39,-PREGUNTA," Presidente, buenos días.",0.7291835902702605,3,6,12,2018
40,-PREGUNTA,"Jorge Monroy, del periódico El Economista.",0.0456379610515421,6,6,12,2018
41,-PREGUNTA,"Quisiera preguntarle si tiene ya la fecha para la presentación del proyecto del presupuesto, el paquete económico, al Congreso, qué fecha sería.",0.314821237708858,22,6,12,2018
42,-PREGUNTA,"Y si nos pudiera adelantar los lineamientos finales en términos del precio del barril de petróleo, el precio del dólar.",0.068672548525435,20,6,12,2018
43,-PREGUNTA,"También preguntarle acerca de si va a haber superávit financiero, como se había venido haciendo en los últimos días.",0.0875092600486106,19,6,12,2018
44,-PREGUNTA,"E insistirle, finalmente, en el tema de los bonos, ¿usted cree que esto no pueda desencadenar en un conflicto y poderse detener el proyecto de Santa Lucía?",0.0084026980486891,27,6,12,2018
45,-PREGUNTA,Gracias.,0.441790940003079,1,6,12,2018
46,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Acerca del presupuesto, tenemos como plazo el día 15 de este mes. Ya se está elaborando el presupuesto. Les adelanto que vamos avanzados.",0.333165342854026,23,6,12,2018
47,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No se va a contemplar en la Ley de Ingresos, porque son estos dos proyectos que se envían al mismo tiempo, la Ley de Ingresos y el presupuesto.",0.221947310401244,28,6,12,2018
48,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En el caso de la Ley de Ingresos, no se van a contemplar aumentos de impuestos, ni impuestos nuevos.",0.010162283766702,19,6,12,2018
49,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Es prácticamente lo mismo, con las proyecciones de ingresos que se puedan contemplar.",0.899046554170234,13,6,12,2018
50,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nos vamos a apoyar mucho en las directrices del Banco de México; es decir, lo que el Banco de México estime en inflación, lo que el Banco de México considere como marco de referencia en lo macroeconómico.",0.0609372921938828,37,6,12,2018
51,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En lo específico, en lo que tiene que ver con el presupuesto, se garantiza que se va a pagar el servicio de deuda completo, alrededor de 800 mil millones de pesos.",0.0305287171426794,31,6,12,2018
52,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se garantiza por completo todo lo relacionado con pensiones y jubilaciones, que son otros 800 mil millones de pesos comprometidos.",0.0898042171982175,20,6,12,2018
53,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se garantiza que se va a pagar la nómina a todos los trabajadores del Gobierno, con aumentos en los sueldos de los trabajadores que ganan hasta menos de 20 mil pesos al mes.",0.0025506916982893,33,6,12,2018
54,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La instrucción que tienen en Hacienda es aumentar inflación más tres puntos a los que ganan menos de 10 mil pesos; de 10 a 15, inflación más dos, y de 15 a 20, inflación más uno.",0.0299396522647535,36,6,12,2018
55,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En ningún caso los aumentos van a estar abajo de la inflación. Solo se reduce los sueldos, de conformidad con el Artículo 127 de la Constitución, de los altos funcionarios públicos.",0.011823347079346,31,6,12,2018
56,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Se garantiza la transferencia de las particiones federales a estados y municipios.,0.0263448306106012,12,6,12,2018
57,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ayer lo mencionaba, con incrementos en términos cuantitativos del 10 por ciento, y en términos reales del 7 por ciento.",0.3646029860044862,20,6,12,2018
58,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a mantener el mismo presupuesto de inversión, un poco más de 600 mil millones de pesos.",0.2539065041471926,17,6,12,2018
59,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se va a reducir el gasto de operación del gobierno por el plan de austeridad, porque vamos a tener más inversión en proyectos productivos, para la creación de empleos.",0.1559461184385954,29,6,12,2018
60,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y se va a financiar todo el programa de bienestar, el de la contratación de jóvenes como aprendices; se van a otorgar alrededor de 10 millones de becas a estudiantes en todos los niveles de escolaridad; aumenta la pensión a los adultos mayores al doble, en los estados donde se les entrega la mitad de lo que recibe el adulto mayor en la Ciudad de México, y muchas otras acciones. Eso en general.",0.0473759129668671,73,6,12,2018
61,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo relacionado con los bonos ya lo expuse, y seguramente la Secretaría de Hacienda les va a dar información sobre esto.",0.0181760262402651,21,6,12,2018
62,-PREGUNTA," Buen día, presidente.",0.6616140879157989,3,6,12,2018
63,-PREGUNTA,"Erick Pinto, de Capital 21.",0.3592711890823757,5,6,12,2018
64,-PREGUNTA,"Oiga, precisamente, sobre este tema que hablaba del nuevo presupuesto de lo que va a mandar a los estados. Este fin de semana usted va a Tabasco y Tabasco ahora mismo está sufriendo o está pasando una crisis muy severa en el sector salud, en el sector educativo.",0.0463675546312475,48,6,12,2018
65,-PREGUNTA,"Precisamente, muchos funcionarios públicos se han estado manifestando por la falta de pagos. Y el Gobierno de Arturo Núñez ha dicho que no le han llegado los recursos federales para hacer estos pagos.",0.0109648633304492,33,6,12,2018
66,-PREGUNTA,"Ahora que va a Tabasco, ¿usted qué atención le va a dar a estos temas?",0.654652003616819,15,6,12,2018
67,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," En términos generales, ahora que se tuvo el encuentro con los gobernadores, les ofrecimos apoyos, porque se tiene que garantizar los salarios de los trabajadores al servicio del Gobierno, o de los gobiernos estatales.",0.0022746248832486,34,6,12,2018
68,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,El compromiso es adelantarles participaciones federales para que puedan resolver sus problemas en el caso de que lo soliciten.,0.0656549330551316,19,6,12,2018
69,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nosotros vamos a apoyar a los gobiernos estatales, a los gobiernos municipales, pero siempre de conformidad con el presupuesto autorizado.",0.5230075360844015,20,6,12,2018
70,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,No va a haber manejo discrecional del presupuesto. No se van a entregar partidas adicionales. Ya no van a haber moches en el presupuesto. No va a haber influyentismo. No se van a llegar a acuerdos políticos para entregar presupuesto.,0.0145355325382806,40,6,12,2018
71,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Eso, también, va a quedar en el pasado. Eso, también, se va a ir al basurero, al basurero de la historia, o se va a ir a la historia, pero al basurero de la historia. Eso se termina.",0.1703701786998518,38,6,12,2018
72,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero quiero dejar de manifiesto que estamos considerando apoyar de esa forma, para que se les pague a los trabajadores.",0.3242205528280429,20,6,12,2018
73,-PREGUNTA," Gracias, presidente.",0.393030772130476,2,6,12,2018
74,-PREGUNTA,"Jessica Zermeño, de Univisión.",0.0174844661437363,4,6,12,2018
75,-PREGUNTA,"Hablando de lo que decía del presupuesto y los sueldos, la Suprema Corte de Justicia ya dijo que va a definir los criterios con los que se van a resolver todos los amparos que están en el Poder Judicial, de la gente que se está negando a que le bajen el sueldo y que ya se protegió judicialmente.",0.0009871428196985,58,6,12,2018
76,-PREGUNTA,"¿Ustedes tienen contemplado el dinero que tienen que recibir estos empleados? Porque el procedimiento de amparo, a todos ya les dieron suspensión temporal, entonces, a ellos no se les puede aplicar la ley, a los que tienen estos amparos, hasta que no resuelva la corte estos criterios.",0.000606674376828,47,6,12,2018
77,-PREGUNTA,"Entonces, dentro del presupuesto ¿ustedes tienen contemplado el dinero que le tienen que dar con los mismos sueldos a estos funcionarios?",0.081758142207048,21,6,12,2018
78,-PREGUNTA,La segunda es ¿cuál es el plan B que tiene el gobierno mexicano ante la posibilidad de que la Suprema Corte termine invalidando la Ley de Remuneraciones? Porque existe esa posibilidad.,0.2479048292788985,31,6,12,2018
79,-PREGUNTA,Gracias.,0.441790940003079,1,6,12,2018
80,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Hay que esperar el resultado legal.,0.1846695895935501,6,6,12,2018
81,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo les explico en términos generales cuál es el procedimiento, en cuanto a la integración del presupuesto.",0.0485616551673949,17,6,12,2018
82,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Como somos poderes autónomos, independientes, nosotros elaboramos el presupuesto del Gobierno Federal, del Ejecutivo Federal, y recibimos las propuestas del Poder Judicial y del Poder Legislativo, incluso, también, de otros organismos autónomos.",0.4379475552017672,32,6,12,2018
83,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y nosotros, por ley, tenemos que enviar así a la Cámara de Diputados el presupuesto. Nosotros no podemos reducir el presupuesto, ni modificar el presupuesto del Poder Judicial, ni del Poder Legislativo, ni de organismos autónomos.",0.0106829360036385,36,6,12,2018
84,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto lo puede hacer el Congreso y, en particular, la Cámara de Diputados, porque es facultad exclusiva de la Cámara de Diputados la aprobación del presupuesto. La aprobación del presupuesto no tiene que ver con la Cámara de Senadores, la Ley de Ingresos sí.",0.4253024482887896,44,6,12,2018
85,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, nosotros lo que vamos a hacer es presentar el presupuesto del Poder Judicial, en este caso, como ellos lo van a enviar y se va a presentar en general al Congreso.",0.2351647005970112,32,6,12,2018
86,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Siempre se busca articularlo de manera que se puedan garantizar los compromisos fundamentales. Siempre. Y va a ser la Cámara de Diputados la que va a decidir, en definitiva.",0.5817371147500094,29,6,12,2018
87,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nosotros vamos a apoyarnos en lo que corresponde al Poder Ejecutivo en la ley y, de manera especial, en la aplicación del Artículo 127 de la Constitución, que establece, entre otras cosas, que ningún funcionario puede ganar más que el presidente de la república.",0.0836806942927209,44,6,12,2018
88,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo creo que voy a ganar como 108, 110 mil pesos mensuales. Y de ahí para abajo.",0.0453142007043079,17,6,12,2018
89,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y esa es la inconformidad que existe, porque hay muchos funcionarios de arriba, en el Poder Judicial y también en el Poder Ejecutivo, y los había también en el Poder Legislativo, que estaban hasta dos, tres, cuatro veces arriba de este tope.",0.1685955860632633,42,6,12,2018
90,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Aclaro que no solo sueldo, porque se establecía un sueldo y además había compensaciones, bonos y otras prebendas, que en conjunto llegaban a significar ingresos de 500, de 600 mil pesos mensuales. Entonces, eso es lo que se está corrigiendo en el marco de la ley.",0.0006222399933765,46,6,12,2018
91,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo voy a ser respetuoso de lo que decidan los jueces en esta materia, pero creo que no puede haber Gobierno rico con pueblo pobre.",0.0682270729073913,25,6,12,2018
92,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No es posible que un servidor público gane 600 mil pesos mensuales y, que, además, todavía se diga que es el encargado de impartir justicia. Se me hace una contradicción.",0.005790024678331,30,6,12,2018
93,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Eso no puede seguir pasando en nuestro país.,0.0289814904715032,8,6,12,2018
94,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Es mi derecho a expresarme, pero, al mismo tiempo, yo voy a respetar la decisión de los jueces y de la instancia judicial que resuelva sobre este asunto, porque lo otro, también, lo aviso, ya hay Estado de Derecho que no había. Era un Estado de chueco. Ahora hay Estado de Derecho.",0.0057743575853154,52,6,12,2018
95,-PREGUNTA, (inaudible),0.541333260777616,1,6,12,2018
96,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Si, verdad. Acuérdense de la recomendación respetuosa, fraterna, de que se socialice la información, que todos puedan preguntar.",0.8489477183119253,18,6,12,2018
97,-PREGUNTA," Buenos días, presidente.",0.7291835902702605,3,6,12,2018
98,-PREGUNTA,"Preguntarle sobre la terna. ¿Cómo es que se garantizaría la autonomía, tomando en cuenta de que, pues, bueno, va a decidirlo al final el Senado, pero también tienen mayoría en el Senado? ¿Cómo es que se garantizaría que no se haría uso de esa mayoría, pues para apoyar una propuesta que usted está enviando?",0.2763688752377135,54,6,12,2018
99,-PREGUNTA,"Y la otra. Hoy se desclasifica un video en donde muestra cómo fue el asesinato de Luis Donaldo Colosio, preguntarle, usted, ¿si en algún momento va a ordenar que se desclasifiquen también videos o material, cuanto antes, sobre el caso Ayotzinapa? Dado que ya se aprobó también la Comisión de la Verdad y es uno de los puntos a tratar en el decreto.",0.0026175060023653,63,6,12,2018
100,-PREGUNTA,Gracias.,0.441790940003079,1,6,12,2018
101,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí. En el Senado cada senador es libre. Son representantes del pueblo, de las entidades federativas y ellos van a decidir, bajo palabra de decir verdad, no hay línea. No vamos a mentir. No vamos a robar. No vamos a traicionar al pueblo.",0.0175195073143265,43,6,12,2018
102,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, se envía la terna, si existía la mala costumbre, porque nos estamos enfrentando a eso, como estamos en el terreno de lo inédito hay muchos que dicen: será o es tirar la piedra y esconder la mano, o el doble discurso, la hipocresía. Nada de eso. Se termina la politiquería.",0.022022959257787,51,6,12,2018
103,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Ya el Poder Ejecutivo no es el poder de los poderes.,0.4372240227754571,11,6,12,2018
104,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, hay libertad completa. No hay tutelaje, no hay línea, no hay indicación. Y los que todavía lo duden, que se vayan acostumbrando.",0.1339649850449893,23,6,12,2018
105,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Acerca de la información sobre el asesinato de Luis Donaldo Colosio, no tengo los elementos. Cuando yo tenga toda la información, yo respondo sobre esto.",0.0110616327603948,25,6,12,2018
106,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Sí les puedo decir, en el caso de Ayotzinapa, que se va a crear la comisión, y tienen todo el apoyo. No se va a ocultar absolutamente nada. La comisión va a tener toda la información hasta llegar a la verdad.",0.0550628141684201,41,6,12,2018
107,-PREGUNTA, (inaudible) más hacia el corte de conservadores.,0.2734177795874438,7,6,12,2018
108,-PREGUNTA,"Y, también, añadir en esta pregunta, el ministro que se fue, Cossío, era un ministro no de carrera judicial, era externo. En las propuestas que hacen yo no veo a ninguno de carrera judicial. Carrera judicial a lo mejor local, pero no en el marco federal, ¿se tomó esto como criterio, como si fuese una cuota para un ministro externo?",0.007256195147105,60,6,12,2018
109,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sobre las características que deben de tener los jueces y, en este caso, los ministros, yo lo que pienso que deben de ser mujeres, hombres, íntegros.",0.0255202191260769,26,6,12,2018
110,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Verdaderos jueces, que actúen con absoluta libertad. Que no acepten consigna de nadie, que no sean serviles, que no sean sumisos, que no estén al servicio de grupos de intereses creados. Que sean honestos y que apliquen, en este caso, sí, el criterio de los liberales del Siglo XIX, de la mejor época que se tuvo, que fue el periodo de la República Restaurada, 10 años que en México se gobernó de acuerdo a la Constitución, a las leyes, que hubo división, que hubo equilibrio de poderes, que hubo la prensa más libre y más inteligente que se haya tenido hasta nuestros días.",0.0675478428981797,103,6,12,2018
111,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, ¿cuál es esa máxima? Al margen de la ley nada, por encima de la ley nadie.",0.0983063909878481,17,6,12,2018
112,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Puedo argumentar más sobre lo de la República Restaurada, en cuanto a los medios. Es la época de Zarco, de Zamacona. Es la época del Nigromante. Es la época de los grandes periodistas.",0.0630993226055452,33,6,12,2018
113,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Todo eso se apagó después con el Porfiriato, se sometió a los medios. 34 años duró el Porfiriato y se subordinó por completo a la prensa. Pero también hubo excepciones.",0.0303680439843137,30,6,12,2018
114,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En esos momentos de dictadura y de autoritarismo, también, hubo periodistas excepcionales, de primera: los hermanos Flores Magón, que enfrentaron a la Dictadura; los del Hijo del Ahuizote. Estoy tratando de acordarme del nombre, era el tío de Luis Cabrera.",0.0346789935893984,40,6,12,2018
115,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,¿No se acuerdan ustedes? Mande.,0.0956129420588539,5,6,12,2018
116,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Daniel Cabrera, de Puebla. Para mí el mejor periodista que ha existido en la historia de México, Daniel Cabrera, el hijo, el director del periódico, El Hijo del Ahuizote, le prestaba la imprenta a los Flores Magón.",0.1880957972538698,37,6,12,2018
117,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Imagínense. Les invadían sus oficinas, les confiscaban la prensa. Iban a la cárcel. Un periodista extraordinario, Daniel Cabrera, tío de Luis Cabrera. Y estaba el diario El Hogar, Filomeno Mata.",0.1259305798264008,30,6,12,2018
118,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Con la Revolución floreció la prensa independiente. Se volvió a apagar la prensa, se cometió, además, se volvieron abyectos muchos periodistas, escritores, cuando Victoriano Huerta.",0.0486897192169444,25,6,12,2018
119,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Luego resurge otra vez la prensa más independiente, con Obregón. Es el tiempo de Vasconcelos, de los grandes periodistas.",0.0031341768028385,19,6,12,2018
120,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hasta nuestros tiempos que ahora, también, hay medios de información muy importantes, buenos periodistas.",0.7508917168133432,14,6,12,2018
121,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"A ver si, ahora, entre todos nos ponemos de acuerdo para hacer un reconocimiento a los buenos periodistas. Pero sin consigna, sin censura a los que hacen buenas investigaciones. Que, en vez de ser censurados, perseguidos, sean premiados. Eso lo podemos hacer de manera colectiva. Sería muy bueno esto. Y ahí cierro el paréntesis.",0.5742052595876717,54,6,12,2018
122,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero es un buen tema, un buen tema.",0.5369013529685089,8,6,12,2018
123,-PREGUNTA, (inaudible),0.541333260777616,1,6,12,2018
124,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Ya lo dije.,0.541333260777616,3,6,12,2018
125,-PREGUNTA, (inaudible),0.541333260777616,1,6,12,2018
126,-PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Lo exige la ley. Me voy a apegar a lo que establece la ley.,0.0143205387796249,14,6,12,2018
127,-PREGUNTA, Gracias.,0.441790940003079,1,6,12,2018
128,-PREGUNTA,"Buenos días, presidente.",0.7291835902702605,3,6,12,2018
